bk,series,model,mounting,accessory,fmt,filename,path,rev,source,source_file,source_date,bytes,sha1,status,notes
AKHG140800,AKHG,AKHG 140-800,RS,,PDF,AKHG-140-800-RS.pdf,AKHG/AKHG-140-800-RS.pdf,A,generated,generated from catalogue,2026-09-18,88516,,generated,
AKHG150100,AKHG,AKHG 150-100,FS,,PDF,AKHG-150-100-FS.pdf,AKHG/AKHG-150-100-FS.pdf,A,generated,generated from catalogue,2026-09-18,88532,,generated,
AKHG150100,AKHG,AKHG 150-100,RS,,PDF,AKHG-150-100-RS.pdf,AKHG/AKHG-150-100-RS.pdf,A,generated,generated from catalogue,2026-09-18,88404,,generated,
AKHG1501000,AKHG,AKHG 150-1000,FS,,PDF,AKHG-150-1000-FS.pdf,AKHG/AKHG-150-1000-FS.pdf,A,generated,generated from catalogue,2026-09-18,88644,,generated,
AKHG1501000,AKHG,AKHG 150-1000,RS,,PDF,AKHG-150-1000-RS.pdf,AKHG/AKHG-150-1000-RS.pdf,A,generated,generated from catalogue,2026-09-18,88532,,generated,
AKHG150200,AKHG,AKHG 150-200,FS,,PDF,AKHG-150-200-FS.pdf,AKHG/AKHG-150-200-FS.pdf,A,generated,generated from catalogue,2026-09-18,88596,,generated,
AKHG150200,AKHG,AKHG 150-200,RS,,PDF,AKHG-150-200-RS.pdf,AKHG/AKHG-150-200-RS.pdf,A,generated,generated from catalogue,2026-09-18,88484,,generated,
AKHG150300,AKHG,AKHG 150-300,FS,,PDF,AKHG-150-300-FS.pdf,AKHG/AKHG-150-300-FS.pdf,A,generated,generated from catalogue,2026-09-18,88628,,generated,
AKHG150300,AKHG,AKHG 150-300,RS,,PDF,AKHG-150-300-RS.pdf,AKHG/AKHG-150-300-RS.pdf,A,generated,generated from catalogue,2026-09-18,88500,,generated,
AKHG150400,AKHG,AKHG 150-400,FS,,PDF,AKHG-150-400-FS.pdf,AKHG/AKHG-150-400-FS.pdf,A,generated,generated from catalogue,2026-09-18,88612,,generated,
AKHG150400,AKHG,AKHG 150-400,RS,,PDF,AKHG-150-400-RS.pdf,AKHG/AKHG-150-400-RS.pdf,A,generated,generated from catalogue,2026-09-18,88500,,generated,
AKHG150500,AKHG,AKHG 150-500,FS,,PDF,AKHG-150-500-FS.pdf,AKHG/AKHG-150-500-FS.pdf,A,generated,generated from catalogue,2026-09-18,88612,,generated,
AKHG150500,AKHG,AKHG 150-500,RS,,PDF,AKHG-150-500-RS.pdf,AKHG/AKHG-150-500-RS.pdf,A,generated,generated from catalogue,2026-09-18,88516,,generated,
AKHG150600,AKHG,AKHG 150-600,FS,,PDF,AKHG-150-600-FS.pdf,AKHG/AKHG-150-600-FS.pdf,A,generated,generated from catalogue,2026-09-18,88596,,generated,
AKHG150600,AKHG,AKHG 150-600,RS,,PDF,AKHG-150-600-RS.pdf,AKHG/AKHG-150-600-RS.pdf,A,generated,generated from catalogue,2026-09-18,88516,,generated,
AKHG150800,AKHG,AKHG 150-800,FS,,PDF,AKHG-150-800-FS.pdf,AKHG/AKHG-150-800-FS.pdf,A,generated,generated from catalogue,2026-09-18,88564,,generated,
AKHG150800,AKHG,AKHG 150-800,RS,,PDF,AKHG-150-800-RS.pdf,AKHG/AKHG-150-800-RS.pdf,A,generated,generated from catalogue,2026-09-18,88484,,generated,
AKHG180100,AKHG,AKHG 180-100,FS,,PDF,AKHG-180-100-FS.pdf,AKHG/AKHG-180-100-FS.pdf,A,generated,generated from catalogue,2026-09-18,88564,,generated,
AKHG180100,AKHG,AKHG 180-100,RS,,PDF,AKHG-180-100-RS.pdf,AKHG/AKHG-180-100-RS.pdf,A,generated,generated from catalogue,2026-09-18,88452,,generated,
AKHG1801000,AKHG,AKHG 180-1000,FS,,PDF,AKHG-180-1000-FS.pdf,AKHG/AKHG-180-1000-FS.pdf,A,generated,generated from catalogue,2026-09-18,88660,,generated,
AKHG1801000,AKHG,AKHG 180-1000,RS,,PDF,AKHG-180-1000-RS.pdf,AKHG/AKHG-180-1000-RS.pdf,A,generated,generated from catalogue,2026-09-18,88548,,generated,
AKHG180125,AKHG,AKHG 180-125,,,PDF,AKHG-180-125.pdf,AKHG/AKHG-180-125.pdf,A,existing,GA:Crane Buffers/180/AKHG-180-125.PDF,2024-05-08,45527,96e0b543e02be3de91598d4a60cb6c2fa991987c,review,model not in products.csv
AKHG180200,AKHG,AKHG 180-200,FS,,PDF,AKHG-180-200-FS.pdf,AKHG/AKHG-180-200-FS.pdf,A,generated,generated from catalogue,2026-09-18,88532,,generated,
AKHG180200,AKHG,AKHG 180-200,RS,,PDF,AKHG-180-200-RS.pdf,AKHG/AKHG-180-200-RS.pdf,A,generated,generated from catalogue,2026-09-18,88436,,generated,
AKHG180250,AKHG,AKHG 180-250,FS,,PDF,AKHG-180-250-FS.pdf,AKHG/AKHG-180-250-FS.pdf,A,generated,generated from catalogue,2026-09-18,88612,,generated,
AKHG180250,AKHG,AKHG 180-250,RS,,PDF,AKHG-180-250-RS.pdf,AKHG/AKHG-180-250-RS.pdf,A,generated,generated from catalogue,2026-09-18,88500,,generated,
AKHG180300,AKHG,AKHG 180-300,FS,,PDF,AKHG-180-300-FS.pdf,AKHG/AKHG-180-300-FS.pdf,A,existing,CB:AKHG 180-300-FS.pdf,2025-03-02,92791,8d8d6791229c74335c2f49faf10735c9d3debc85,review,model not in products.csv
AKHG180300,AKHG,AKHG 180-300,RS,,PDF,AKHG-180-300-RS.pdf,AKHG/AKHG-180-300-RS.pdf,A,existing,CB:AKHG 180-300-RS.pdf,2025-03-03,95170,79bc95750766eeeed69d616bc7c4454a29fcbd55,review,model not in products.csv
AKHG180400,AKHG,AKHG 180-400,FS,,PDF,AKHG-180-400-FS.pdf,AKHG/AKHG-180-400-FS.pdf,A,generated,generated from catalogue,2026-09-18,88596,,generated,
